Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,Value
2021,1876873,07/01/2021,EastMidlands,SK5796758339,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),NottinghamshireCounty,MansfieldDistrict,,12
2021,1876991,07/01/2021,NorthEast,NZ0959054215,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),DurhamCounty,DerwentsideDistrict,,13
2021,1877036,07/01/2021,Yorkshire,SE1642907383,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,KirkleesDistrict,,14
2021,1877079,07/01/2021,Thames,SP2898301863,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,WestOxfordshireDistrict,,15
2021,1877179,07/01/2021,Thames,SP7600403208,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,SouthOxfordshireDistrict,,16
2021,1877238,08/01/2021,EastAnglia(CambridgeshireandBedfordshire),TL2108469808,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),CambridgeshireCounty,HuntingdonshireDistrict,,17
2021,1878047,11/01/2021,Yorkshire,SE2621730282,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),,LeedsDistrict,,18
2021,1878142,11/01/2021,Yorkshire,SE1945740862,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,19
2021,1878203,11/01/2021,Yorkshire,SE3645637397,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,LeedsDistrict,,20
2021,1878421,12/01/2021,"Kent,SouthLondonandEastSussex",TQ7917027752,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,TunbridgeWellsDistrict,,21
2021,1878817,13/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO3470752784,Yes,Category2(Significant),Category4(NoImpact),Category3(Minor),,,CountyofHerefordshire,22
2021,1879386,14/01/2021,HertfordshireandNorthLondon,TL2873021356,Yes,Category4(NoImpact),Category2(Significant),Category2(Significant),HertfordshireCounty,EastHertfordshireDistrict,,23
2021,1880291,17/01/2021,DevonandCornwall,ST3969605363,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DorsetCounty,WestDorsetDistrict,,24
2021,1880372,18/01/2021,LincolnshireandNorthamptonshire,TF3842404993,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),CambridgeshireCounty,FenlandDistrict,,25
2021,1880395,18/01/2021,Yorkshire,SE0150941184,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),,BradfordDistrict,,26
2021,1880479,18/01/2021,"GreaterManchester,MerseysideandCheshire",SJ7448496950,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),,SalfordDistrict,,27
2021,1880844,19/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SJ4705103106,Yes,Category3(Minor),Category3(Minor),Category2(Significant),ShropshireCounty,ShrewsburyandAtchamDistrict,,28
2021,1881252,20/01/2021,"GreaterManchester,MerseysideandCheshire",SJ6823298005,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),,WiganDistrict,,29
2021,1881704,20/01/2021,DevonandCornwall,SS5136713082,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DevonCounty,TorridgeDistrict,,30
2021,1881951,21/01/2021,HertfordshireandNorthLondon,SP9879606035,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),HertfordshireCounty,DacorumDistrict,,31
